id,timestamp,student_id,grade,date_and_time_of_misbehavior,location_of_misbehavior,documenting_staff_id,documenting_staff,classroom_or_administrative_managed,type_of_misbehavior,narrative_description_of_misbehavior,consequence,reporting_staff_id,reporting_staff,d12_planning_completed,narrative_of_consequence
291,2014-06-17 08:52:00.000000,113,2,2014-05-29 10:45:00.000000,2nd grade classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)","student became very upset and distracting when another student told him to ""shut up""",,42,Mr. Landers,"A, B, C, D",
292,2014-06-18 11:17:00.000000,113,2,2014-06-09 14:00:00.000000,PE,2,Mr. Barron,Administrative,Verbal/Physical Intimidation (D12),one student got upset when another student kicked the ball out of bounds during a soccer game. That sparked an argument between the students.,Verbal warning with reminder of positive expectation,7,Mr.  Nunez,"A, B, C, D",
293,2014-06-12 10:06:00.000000,7,4,2014-05-20 12:00:00.000000,4th grade classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12), Verbal/Physical Intimidation (D12)",student pushed and hit another student.,Verbal warning with reminder of positive expectation,112,Ms. Naechia,"A, B, C, D",
294,2014-06-18 11:49:00.000000,144,11,2014-06-06 09:30:00.000000,Spanish/Art Classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), sleeping in class",sleeping in class.,Verbal warning with reminder of positive expectation,118,Ms. Rodriguez,"A, B, C, D",
295,2014-03-18 09:22:00.000000,148,9,2014-03-12 14:49:00.000000,Spanish/Art Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Recurring teacher managed behavior checked above (D12)",Student was laughing at the behavior of the other groups in class. It was so much that it became a distraction.,Verbal warning with reminder of positive expectation,118,Ms. Rodriguez,"A, B, C, D",
296,2014-04-21 09:22:00.000000,148,9,2014-04-16 14:21:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM)",constant talking during instructional time.,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
297,2014-04-21 09:10:00.000000,148,9,2014-04-18 08:55:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM)","Student (Issac Olmedo) was drawing during class time, Another student (Maria O.) took his drawing and ripped it up. This made Issac very upset in the classroom.",Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
298,2014-04-28 09:06:00.000000,148,9,2014-04-23 10:45:00.000000,Spanish/Art Classroom,2,Mr. Barron,Administrative,"Major Disruptions (D12), Profanity directed at adults (D12), Disrespectful language",said disrespectful things to the guest teacher,Verbal warning with reminder of positive expectation,118,Ms. Rodriguez,"A, B, C, D",
299,2014-06-12 11:08:00.000000,148,9,2014-05-03 13:20:00.000000,Science Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student was being too talkative and disruptive during class time.,Verbal warning with reminder of positive expectation,105,Ms. Kurth,"A, B, C, D",
300,2014-02-12 09:11:00.000000,120,9,2014-02-07 14:30:00.000000,Spanish/Art Classroom,2,Mr. Barron,Administrative,Non-compliance/off-task (CM),Student was refusing to change seats.,Verbal warning with reminder of positive expectation,118,Ms. Rodriguez,"A, B, C, D",
301,2014-02-28 09:47:00.000000,120,9,2014-02-21 09:01:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",Student was having a conversation sitting in a seat that was not hers. The teacher asked her to move up to her seat and student listened. Student then continued to have conversation and was sent to D-12,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
302,2014-03-03 08:25:00.000000,120,10,2014-02-25 08:54:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student had her head lowered on desk and writing a note. As the teacher came over to ask for the note the student ripped up what she was writing.,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
303,2014-02-28 10:05:00.000000,120,10,2014-02-25 13:45:00.000000,Science Classroom,2,Mr. Barron,Administrative,Profanity directed at adults (D12),Student was asked to complete a specific task. The student took the tone of the teacher as being rude and so the student responded with attitude.,Verbal warning with reminder of positive expectation,21,Ms.  Sanchez,"A, B, C, D",
304,2014-04-02 09:06:00.000000,120,9,2014-03-24 10:00:00.000000,Spanish/Art Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",Being disruptive with conversations with other students.,Verbal warning with reminder of positive expectation,118,Ms. Rodriguez,"A, B, C, D",
305,2014-04-21 09:07:00.000000,120,9,2014-04-18 10:08:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM)",student (Maria) grabbed a drawing from another student (Issac Olmedo) and ripped it up.,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
306,2014-02-28 09:44:00.000000,205,9,2014-02-21 09:17:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Recurring teacher managed behavior checked above (D12)","Student came back from the nurse and began talking. Teacher said that noise level was acceptable. Then student asked teacher ""Do you go to church?"" and instructor sent her to D-12",Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
307,2014-03-18 10:38:00.000000,205,9,2014-03-07 08:45:00.000000,English classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",Student was drawing in the class during instructional time. Teacher also stated that student was refusing to read.,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
308,2014-03-18 10:34:00.000000,205,10,2014-03-10 08:30:00.000000,English classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student was refusing to complete the classwork because she felt that she had already completed and submitted that assignment.,Verbal warning with reminder of positive expectation,38,Mr. Jacobs,"A, B, C, D",
309,2014-03-24 08:34:00.000000,205,9,2014-03-21 08:15:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",,"Verbal warning with reminder of positive expectation, possible call home",127,Ms. Tyler,"A, B, C, D",
310,2014-04-28 09:44:00.000000,205,9,2014-04-22 08:19:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM)",,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
311,2014-01-14 08:18:00.000000,112,6,2014-01-13 10:58:00.000000,Yoga,2,Mr. Barron,Classroom,Minor Disruptions (CM),,Verbal warning with reminder of positive expectation,91,Ms. Chandra,"A, B, C, D",
312,2014-01-13 10:54:00.000000,36,5,2014-01-10 12:39:00.000000,Cafeteria,2,Mr. Barron,Classroom,"Major Disruptions (D12), throwing food",,"Verbal warning with reminder of positive expectation, Campus Beautification",112,Ms. Naechia,"A, B, C, D",All students involved will be picking up trash during lunch on 1/13/14 as part of their consequence
313,2014-06-11 10:19:00.000000,76,10,2014-05-23 13:25:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student was refusing to sit in assigned seat. Student had concerns about people at the table with him would be too much of a distraction. Instead of having a conversation with teacher student just became defiant.,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
314,2014-01-14 08:19:00.000000,89,6,2014-01-13 10:58:00.000000,Yoga,2,Mr. Barron,Classroom,Minor Disruptions (CM),Talking after completion of their Yoga poses.,Verbal warning with reminder of positive expectation,91,Ms. Chandra,"A, B, C, D",
315,2014-01-14 09:09:00.000000,15,11,2014-01-13 13:45:00.000000,Classroom,2,Mr. Barron,Administrative,Major Disruptions (D12),laughing and playing around during instruction time,Verbal warning with reminder of positive expectation,172,Ms. Tyler,"A, B, C, D","cool down, made plan"
316,2014-01-15 08:22:00.000000,15,10,2014-01-14 13:15:00.000000,Ms. Tyler's Classroom,2,Mr. Barron,Administrative,Tardy (CM),"Student was tardy without a pass,",Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
317,2014-04-14 11:50:00.000000,15,10,2014-04-09 10:30:00.000000,Ms. Becknell's Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",Student was distracted with sending messages via Chat app on chromebooks.,Verbal warning with reminder of positive expectation,89,Ms. Becknell,"A, B, C, D",
318,2014-05-22 10:23:00.000000,15,10,2014-05-06 12:05:00.000000,Spanish/Art Classroom,2,Mr. Barron,Administrative,Non-compliance/off-task (CM),student was having trouble understanding the assignment but was not asking for help in the correct manner.,Verbal warning with reminder of positive expectation,118,Ms. Rodriguez,"A, B, C, D",
319,2014-06-12 08:19:00.000000,15,10,2014-05-20 13:40:00.000000,English classroom,2,Mr. Barron,Administrative,Minor Disruptions (CM),Gustavo was poking fun at a classmate that got caught eating in class. The teacher thought that Gustavo was making inappropriate racial comments.,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
320,2014-06-18 10:34:00.000000,15,10,2014-06-03 13:45:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student was joking in class to the point of interrupting the classroom learning.,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
321,2014-06-18 10:29:00.000000,15,10,2014-06-04 11:15:00.000000,Ms. Becknell's Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Recurring teacher managed behavior checked above (D12)",class was watching a film and student had removed his sweater and put it over his head. Teacher gave student redirection to remove the sweater and focus on the film. Student did not comply.,Verbal warning with reminder of positive expectation,89,Ms. Becknell,"A, B, C, D",
322,2014-06-18 11:22:00.000000,15,10,2014-06-09 08:40:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student was being disruptive asking questions about instructions that teacher had just finished giving.,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
323,2014-01-27 10:50:00.000000,79,9,2014-01-24 08:04:00.000000,Ms. Tyler's Classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Major Defiances (D12), eating/drinking in class",Student brought in a juice from breakfast time before school. He then asked the teacher to step outside to finish it but instructor said no. He then opened his juice and drank it.,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
324,2014-02-24 09:39:00.000000,79,8,2014-02-11 14:40:00.000000,Spanish/Art Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",Student was talking excessively during other students presentation times.,Verbal warning with reminder of positive expectation,165,Ms. Rodriguez,"A, B, C, D",
325,2014-06-09 11:23:00.000000,79,9,2014-05-01 11:30:00.000000,English classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student was up out of his seat without permission,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
326,2014-06-18 10:32:00.000000,79,9,2014-06-03 14:43:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student was being shown photos on another students phone. It was a distraction because the student was laughing loudly.,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
327,2014-06-20 10:36:00.000000,79,9,2014-06-20 08:12:00.000000,English classroom,2,Mr. Barron,Administrative,Play fighting (CM),"student was hit by his brother who is in the same class, he pretended to hit him in the privates. His brother flinched and teacher thought he really hit him. sent to D-12",Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
328,2014-01-27 12:18:00.000000,264,3,2014-01-21 01:05:00.000000,3rd grade classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM)",student was very distracting and disruptive in classroom would not follow instructor's redirections.,Verbal warning with reminder of positive expectation,95,Ms. Diaz,"A, B, C, D",
329,2014-01-27 10:58:00.000000,210,2,2014-01-23 09:35:00.000000,PE,2,Mr. Barron,Administrative,Play fighting (CM),Pushing of a student,Verbal warning with reminder of positive expectation,30,Mr.  Nunez,"A, B, C, D",
330,2014-05-28 09:28:00.000000,207,7,2014-05-05 11:47:00.000000,7th grade classroom,2,Mr. Barron,Administrative,Non-compliance/off-task (CM),student was refusing to complete classwork with assign group of class mates. Chose to come to d-12 instead.,Verbal warning with reminder of positive expectation,97,Ms. Duran,"A, B, C, D",
331,2014-06-12 11:04:00.000000,207,7,2014-06-03 13:00:00.000000,7th grade classroom,2,Mr. Barron,Administrative,No Supplies (CM),student kept forgetting to bring in a required parent log.,Verbal warning with reminder of positive expectation,110,Ms. Duran,"A, B, C, D",
332,2014-01-09 11:43:00.000000,273,3,2014-01-09 10:00:00.000000,Yoga,2,Mr. Barron,Classroom,Minor Disruptions (CM),She became very upset and disruptive in class when classmates laughed at her work.,Verbal warning with reminder of positive expectation,4,Ms. Chandra,"A, B, C, D",
333,2014-01-10 13:55:00.000000,273,4,2014-01-10 11:13:00.000000,PE,2,Mr. Barron,Classroom,"Major Defiances (D12), Attitude (eye rolling)","Student was upset about a prior incident, that staff have already explained to her for the last four days.",Verbal warning with reminder of positive expectation,22,Mr.  Nunez,"A, B, C, D",
334,2014-03-11 10:24:00.000000,273,4,2014-02-05 12:15:00.000000,PE,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Major Defiances (D12), Major Disruptions (D12)",Student was defiant and disrespectful toward Mr. Chuy.,Verbal warning with reminder of positive expectation,7,Mr.  Nunez,"A, B, C, D",
335,2014-02-28 09:13:00.000000,273,4,2014-02-12 10:03:00.000000,4th grade classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",,Verbal warning with reminder of positive expectation,40,Mr. Keiley,"A, B, C, D",
336,2014-03-03 08:27:00.000000,273,4,2014-02-24 13:25:00.000000,4th grade classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Major Defiances (D12)",student was rude and defiant with Ms. Naechia.,Verbal warning with reminder of positive expectation,112,Ms. Naechia,"A, B, C, D",
337,2014-03-18 10:47:00.000000,273,4,2014-03-11 09:11:00.000000,4th grade classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12), Major Defiances (D12)",Student was talking in class and refused to come to D-12.,Verbal warning with reminder of positive expectation,112,Ms. Naechia,"A, B, C, D",
338,2014-03-18 10:49:00.000000,273,4,2014-03-11 10:24:00.000000,4th grade classroom,2,Mr. Barron,Administrative,"Major Defiances (D12), Disrespectful language",student was defiant and rude to staff members.  Disrupting the class and sent to D-12 twice in the same day.,"Verbal warning with reminder of positive expectation, Phone call/email/letter home",112,Ms. Naechia,"A, B, C, D",
339,2014-04-02 09:07:00.000000,273,4,2014-03-28 10:06:00.000000,4th grade classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",Student was defiant in ending tetherball game.,Verbal warning with reminder of positive expectation,40,Mr. Keiley,"A, B, C, D",
340,2014-04-07 08:34:00.000000,273,4,2014-04-02 10:33:00.000000,4th grade classroom,2,Mr. Barron,Administrative,Major Defiances (D12),"student was being rude and defiant, walked to the classroom door as if she were going to walk out.",Verbal warning with reminder of positive expectation,112,Ms. Naechia,"A, B, C, D",
341,2014-04-21 09:20:00.000000,273,4,2014-04-17 10:15:00.000000,Yoga,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Recurring teacher managed behavior checked above (D12)",Angel became upset because she felt that the other students were not playing correctly. She became upset and knocked a students hat off his head.,"Verbal warning with reminder of positive expectation, possible call home",91,Ms. Chandra,"A, B, C, D",
342,2014-06-16 11:50:00.000000,273,4,2014-05-30 10:11:00.000000,4th grade classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), turning up volume on smart board",,Verbal warning with reminder of positive expectation,7,Mr.  Nunez,"A, B, C, D",
343,2014-06-18 11:01:00.000000,273,4,2014-06-10 12:15:00.000000,Youngers lunch recess,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Minor Harassment (CM), Play fighting (CM)",student was play pushing with another student. Situation escalated and it became and argument.,Verbal warning with reminder of positive expectation,112,Ms. Naechia,"A, B, C, D",
344,2014-03-18 10:27:00.000000,28,2,2014-03-11 12:06:00.000000,2nd grade classroom,2,Mr. Barron,Administrative,Non-compliance/off-task (CM),student was supposed to serve break time but went to go play anyway.,Verbal warning with reminder of positive expectation,42,Mr. Landers,"A, B, C, D",
345,2014-01-23 11:05:00.000000,154,6,2014-01-21 13:04:00.000000,Gym after lunch,2,Mr. Barron,Administrative,disrespectful,Diego was disrespectful to Ms. Daley because he was not in agreement with the class redirection that she had given.,Verbal warning with reminder of positive expectation,93,Ms. Daley,"A, B, C, D",
346,2014-01-17 08:34:00.000000,241,8,2014-01-16 09:30:00.000000,Science Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), spraying white board cleaner on table/papers",,Verbal warning with reminder of positive expectation,108,Ms. Linda,"A, B, C, D",
347,2014-01-17 08:36:00.000000,241,8,2014-01-16 10:43:00.000000,8th Grade Classroom,2,Mr. Barron,Administrative,"Major Defiances (D12), Eating food in class",Student was asked to get rid of food that had been brought into the classroom by student but he ate it instead against instructors redirection.,Verbal warning with reminder of positive expectation,101,Ms. Harwood,"A, B, C, D",
348,2014-01-24 09:23:00.000000,241,8,2014-01-17 11:00:00.000000,Science Classroom,2,Mr. Barron,Administrative,up out of his seat,student was out of his seat throughout the class period and would not listen to redirection from teacher.,Verbal warning with reminder of positive expectation,108,Ms. Linda,"A, B, C, D",
349,2014-03-11 13:30:00.000000,241,8,2014-01-30 10:02:00.000000,Science Classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)","Another student threw the teacher's tape at Albert, he caught the tape but teacher thought that he was playing with it.",Verbal warning with reminder of positive expectation,108,Ms. Linda,"A, B, C, D",
350,2014-03-18 08:56:00.000000,241,8,2014-01-30 12:05:00.000000,8th Grade classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12), Major Defiances (D12)",Student was clearly not trying as hard as they could to do their crossfit training.,Verbal warning with reminder of positive expectation,101,Ms. Harwood,"A, B, C, D",
351,2014-04-09 09:29:00.000000,241,8,2014-04-08 13:10:00.000000,8th Grade classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM)",,Verbal warning with reminder of positive expectation,101,Ms. Harwood,"A, B, C, D",
352,2014-06-09 10:32:00.000000,241,8,2014-05-02 11:00:00.000000,Science Classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student was refusing to work with the group he was assigned.,Verbal warning with reminder of positive expectation,105,Ms. Kurth,"A, B, C, D",
353,2014-01-27 08:46:00.000000,241,8,2014-01-24 11:05:00.000000,Science Classroom,2,Mr. Barron,Administrative,Minor Disruptions (CM),Student was talking to another classmate during instruction time.,Verbal warning with reminder of positive expectation,108,Ms. Linda,"A, B, C, D",
354,2014-01-13 11:00:00.000000,43,6,2014-01-10 12:05:00.000000,Cafeteria,2,Mr. Barron,Classroom,"Major Disruptions (D12), throwing food",,"Verbal warning with reminder of positive expectation, Campus Beautification",112,Ms. Naechia,"A, B, C, D",All students involved will be picking up trash during lunch on 1/13/14 as part of their consequence
355,2014-01-14 08:25:00.000000,43,6,2014-01-13 11:38:00.000000,Yoga,2,Mr. Barron,Classroom,"Minor Disruptions (CM), Major Defiances (D12)",Students were redirected multiple times then finally refused their final directions of sitting on the grass.,Verbal warning with reminder of positive expectation,91,Ms. Chandra,"A, B, C, D",
356,2014-02-28 09:24:00.000000,43,5,2014-02-05 11:15:00.000000,Yoga,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Major Defiances (D12)",Student asked to go wash his hands. Instructor said no and student chose to walk out anyway.,Verbal warning with reminder of positive expectation,91,Ms. Chandra,"A, B, C, D",
357,2014-03-04 09:22:00.000000,43,5,2014-02-19 13:25:00.000000,Lower grade hallway,2,Mr. Barron,Administrative,Running in the hallway,,Verbal warning with reminder of positive expectation,96,Ms. Dragomire,"A, B, C, D",
358,2014-02-18 10:55:00.000000,43,5,2014-02-27 00:39:00.000000,Ms. Dragomire's room,2,Mr. Barron,Administrative,Non-compliance/off-task (CM),Student was being asked to copy work from the board and he became upset because he felt that teacher was scrolling too fast.,Verbal warning with reminder of positive expectation,96,Ms. Dragomire,"A, B, C, D",
359,2014-03-18 11:11:00.000000,43,5,2014-03-05 14:28:00.000000,Mr. Valentine's classroom,2,Mr. Barron,Administrative,Major Defiances (D12),student refused to go to the reading specialist.,Verbal warning with reminder of positive expectation,59,Mr. Valentine,"A, B, C, D",
360,2014-04-02 09:18:00.000000,43,5,2014-03-26 08:52:00.000000,Ms. Dragomire's room,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Play fighting (CM), Recurring teacher managed behavior checked above (D12), Major Disruptions (D12)",Student got out of his seat and started to hit another student with a bean bag.,Verbal warning with reminder of positive expectation,102,Ms. Idano,"A, B, C, D",
361,2014-06-17 11:16:00.000000,111,8,2014-05-27 13:04:00.000000,8th Grade classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",Horse play in the hallways,Verbal warning with reminder of positive expectation,15,Ms. Harwood,"A, B, C, D",
362,2014-06-18 08:23:00.000000,111,8,2014-05-27 13:04:00.000000,Upstairs hallways,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Play fighting (CM)",students were chasing each other around the upstairs hallways,Verbal warning with reminder of positive expectation,101,Ms. Harwood,"A, B, C, D",
363,2014-06-16 10:03:00.000000,11,4,2014-06-02 13:20:00.000000,lower grade boys restroom,2,Mr. Barron,Administrative,Classroom Minor Vandalism (CM),throwing soap all over the bathroom floor.,Verbal warning with reminder of positive expectation,45,Mr. Black,"A, B, C, D",
364,2014-06-03 09:39:00.000000,100,11,2014-05-05 10:22:00.000000,English classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)","student was not being productive, being off task and keeping head down.",Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
365,2014-06-09 09:04:00.000000,100,10,2014-05-05 10:22:00.000000,Math Classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",,Verbal warning with reminder of positive expectation,33,Mr. Fenick,"A, B, C, D",
366,2014-06-16 10:28:00.000000,100,11,2014-06-02 09:40:00.000000,English classroom,2,Mr. Barron,Administrative,in bathroom when class began,student was wasting time in the restroom after the bell had rung. He claimed to have a lot on his mind and just got distracted.,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
367,2014-03-18 08:47:00.000000,73,9,2014-02-03 13:51:00.000000,Science Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",Student was being disruptive by having conversation during a film during class.,Verbal warning with reminder of positive expectation,108,Ms. Linda,"A, B, C, D",
368,2014-02-24 09:36:00.000000,73,10,2014-02-12 09:15:00.000000,Resource classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",Student was talking in class during a guest instructors time. Classroom teacher asked her stop but student did not. Student was then asked to leave the classroom.,Verbal warning with reminder of positive expectation,16,Ms. Idano,"A, B, C, D",
369,2014-03-05 13:38:00.000000,73,9,2014-02-25 10:56:00.000000,Math Classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12), Major Defiances (D12)","Student was defiant and refusing to do any work. The student claimed to ""Just not feel like doing anything""",Verbal warning with reminder of positive expectation,33,Mr. Fenick,"A, B, C, D",
370,2014-03-18 09:06:00.000000,73,9,2014-03-17 13:15:00.000000,Science Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",Student was asked to put away a portable blue tooth speaker. She put it on the edge of her desk. She began touching it again and teacher confiscated it. The student began to get upset and started refusing to do her work in class.,Verbal warning with reminder of positive expectation,108,Ms. Linda,"A, B, C, D",
371,2014-03-18 12:15:00.000000,73,9,2014-03-18 11:38:00.000000,Math Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM)",,Verbal warning with reminder of positive expectation,33,Mr. Fenick,"A, B, C, D",
372,2014-03-18 13:35:00.000000,73,9,2014-03-18 13:30:00.000000,Science Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",,Verbal warning with reminder of positive expectation,108,Ms. Linda,"A, B, C, D",
373,2014-02-28 09:57:00.000000,73,9,2014-03-25 14:45:00.000000,Spanish/Art Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Major Defiances (D12)",Student was called up to the front of the class in order to participate with a classroom activity. The student was refusing to go up and teacher threatened whole class w after school time. Then the student chose to send herself to D-12 in order to avoid the whole class being punished.,Verbal warning with reminder of positive expectation,118,Ms. Rodriguez,"A, B, C, D",
374,2014-04-21 09:01:00.000000,73,9,2014-04-18 11:50:00.000000,English classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Major Disruptions (D12)",Student squirted another student with a water gun during class time.,"Verbal warning with reminder of positive expectation, confiscated water gun toy",127,Ms. Tyler,,
375,2014-05-23 08:53:00.000000,73,9,2014-05-08 10:35:00.000000,High school math class,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM)",student was continuously talking to the point where it became a distraction.,Verbal warning with reminder of positive expectation,33,Mr. Fenick,"A, B, C, D",
376,2014-01-23 11:20:00.000000,215,11,2014-01-21 09:18:00.000000,Spanish/Art classroom,2,Mr. Barron,Administrative,Major Defiances (D12),student wanted to speak with nurse about glasses she was supposed to receive but teacher asked to wait until break or lunch. The student walked out anyway and came to D12,Verbal warning with reminder of positive expectation,118,Ms. Rodriguez,"A, B, C, D",
377,2014-02-18 10:33:00.000000,215,11,2014-01-28 11:56:00.000000,Math Tutoring  Room,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM)",Student was sitting in on a class that had not been assigned to her.,Verbal warning with reminder of positive expectation,44,Mr.  Areyan,"A, B, C, D",
378,2014-04-30 09:11:00.000000,215,11,2014-04-29 11:02:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
379,2014-06-03 09:15:00.000000,215,11,2014-05-05 11:06:00.000000,English classroom,2,Mr. Barron,Administrative,Minor Disruptions (CM),student was upset that he felt the teacher was laughing at another student.,Verbal warning with reminder of positive expectation,169,Self Referral,"A, B, C, D",
380,2014-06-10 12:37:00.000000,215,11,2014-05-27 08:45:00.000000,Ms. Becknell's Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Recurring teacher managed behavior checked above (D12)",,Verbal warning with reminder of positive expectation,87,Ms. Arely,"A, B, C, D",
